url,domain,path,has_https,suspicious_chars,url_length,label
https://www.microsoft.com,www.microsoft.com,,True,False,25,Safe
http://198.51.100.4/login,198.51.100.4,/login,False,False,25,Suspicious
https://secure-paypa1.com/verify,secure-paypa1.com,/verify,True,True,32,Suspicious
http://example.com/update/account?user=you,example.com,/update/account,False,True,42,Phishing (High Risk)
https://bit.ly/3AbCdE,bit.ly,/3AbCdE,True,False,21,Safe
https://xn--pple-43d.com/login,xn--pple-43d.com,/login,True,True,30,Suspicious
https://accounts.google.com,accounts.google.com,,True,False,27,Safe
http://sub1.sub2.sub3.sub4.domain.top/reset,sub1.sub2.sub3.sub4.domain.top,/reset,False,False,43,Suspicious
https://mybank-secure-login.xyz/confirm,mybank-secure-login.xyz,/confirm,True,True,39,Suspicious
http://example.com/93485734987534987534,example.com,/93485734987534987534,False,False,39,Suspicious
